Experiment,Features,Rows Used,Dataset Percentage Used,Vector Dimensions,Distance Metric,K,Average Similarity,Genre Overlap@K,Keyword Overlap@K,Diversity@K,Catalog Coverage,Recommendation Coverage,Mean Distance,Median Distance,Distance Std,Composite Quality
E1,genres,15000,1.0283995976900775,276,cosine,10,0.9813246737718582,0.4697942857142858,0.006594102564102563,0.023424344301223754,0.05533333333333333,1.0,0.01867532916367054,0.0,0.07485468685626984,0.4477882984543449
E2,keywords,15000,1.0283995976900775,2967,cosine,10,0.9072510872989893,0.09425333333333333,0.07817728155745184,0.09795672035217286,0.04,1.0,0.09274891018867493,5.960464477539063e-08,0.2270209640264511,0.3707175115856292
E3,overview,15000,1.0283995976900775,5010,cosine,10,0.42797195294499396,0.06949809523809523,0.003831111111111111,0.6170776817798614,0.1102,1.0,0.5720280408859253,0.7342636585235596,0.3183766305446625,0.2680376770675684
E4,"genres, keywords",15000,1.0283995976900775,2776,cosine,10,0.9177673747301102,0.46284,0.05737850295902928,0.07001001358032227,0.06353333333333333,1.0,0.08223263174295425,5.960464477539063e-08,0.17352993786334991,0.44211711711772606
E5,"genres, overview",15000,1.0283995976900775,2776,cosine,10,0.587950943261385,0.46263999999999994,0.005512832722832723,0.3589976742267609,0.1024,1.0,0.4120490252971649,0.29986000061035156,0.2780494689941406,0.36350304782006543
E6,"keywords, overview",15000,1.0283995976900775,5010,cosine,10,0.46567998113632203,0.0891,0.07271766527590057,0.5913511714935302,0.11513333333333334,1.0,0.5343199968338013,0.674524188041687,0.29859915375709534,0.29556753551025566
E7,"genres, keywords, overview",15000,1.0283995976900775,3608,cosine,10,0.5804619911253452,0.4546666666666666,0.05136239538239538,0.37501740169525144,0.1026,1.0,0.4195379912853241,0.4263862371444702,0.26524317264556885,0.3708801195579709
E8,"genres, keywords, overview, tagline",15000,1.0283995976900775,4026,cosine,10,0.5793176788151264,0.4508933333333333,0.050627892458418776,0.37617570638656617,0.10133333333333333,1.0,0.42068231105804443,0.4263862371444702,0.26216912269592285,0.3696251220349629
E9,"genres, keywords, overview, original_language",15000,1.0283995976900775,3703,cosine,10,0.7426972798824311,0.3718,0.03344,0.11216496658325195,0.084,1.0,0.25730273127555847,0.2876875400543213,0.14432252943515778,0.3662167929463387
E10,"genres, keywords, overview, runtime",15000,1.0283995976900775,3609,cosine,10,0.7209698942124844,0.4257200000000001,0.04038,0.15115730857849122,0.07993333333333333,1.0,0.27903008460998535,0.2559617757797241,0.19647625088691711,0.3762263925944765
E11,"genres, keywords, overview, popularity",15000,1.0283995976900775,3609,cosine,10,0.6677150071680545,0.43231238095238095,0.0431815873015873,0.224042338848114,0.09546666666666667,1.0,0.33228498697280884,0.2924402058124542,0.23726455867290497,0.3719520636534965
E12,"genres, keywords, overview, tagline, runtime, popularity, vote_average, vote_count, release_year, original_language",15000,1.0283995976900775,4126,cosine,10,0.8208298998951912,0.27405761904761905,0.019483096141331434,0.1265412299633026,0.1076,1.0,0.17917008697986603,0.1728287637233734,0.10756263881921768,0.37573979249560235
